batch_index,batch_seed,algorithm_id,algorithm_label,driver_id,order_count,stop_count,total_km,eta_minutes,route_valid,default_algorithm_id
78,119,greedy_nearest,Greedy Nearest Stop,driver_78,8,16,66.04,158,TRUE,greedy_nearest
78,119,paired_order_greedy,Greedy Paired Orders,driver_78,8,16,83.23,200,TRUE,greedy_nearest
79,120,greedy_nearest,Greedy Nearest Stop,driver_79,8,16,42.78,103,TRUE,greedy_nearest
79,120,paired_order_greedy,Greedy Paired Orders,driver_79,8,16,97.58,234,TRUE,greedy_nearest
80,121,greedy_nearest,Greedy Nearest Stop,driver_80,8,16,52.46,126,TRUE,greedy_nearest
80,121,paired_order_greedy,Greedy Paired Orders,driver_80,8,16,90.89,218,TRUE,greedy_nearest
81,122,greedy_nearest,Greedy Nearest Stop,driver_81,8,16,54.79,131,TRUE,greedy_nearest
81,122,paired_order_greedy,Greedy Paired Orders,driver_81,8,16,75.44,181,TRUE,greedy_nearest
82,123,greedy_nearest,Greedy Nearest Stop,driver_82,8,16,59.95,144,TRUE,greedy_nearest
82,123,paired_order_greedy,Greedy Paired Orders,driver_82,8,16,89.14,214,TRUE,greedy_nearest
83,124,greedy_nearest,Greedy Nearest Stop,driver_83,8,16,55.78,134,TRUE,greedy_nearest
83,124,paired_order_greedy,Greedy Paired Orders,driver_83,8,16,70.09,168,TRUE,greedy_nearest
84,125,greedy_nearest,Greedy Nearest Stop,driver_84,8,16,54.35,130,TRUE,greedy_nearest
84,125,paired_order_greedy,Greedy Paired Orders,driver_84,8,16,79.09,190,TRUE,greedy_nearest
85,126,greedy_nearest,Greedy Nearest Stop,driver_85,8,16,54.54,131,TRUE,greedy_nearest
85,126,paired_order_greedy,Greedy Paired Orders,driver_85,8,16,80.39,193,TRUE,greedy_nearest
86,127,greedy_nearest,Greedy Nearest Stop,driver_86,8,16,46.97,113,TRUE,greedy_nearest
86,127,paired_order_greedy,Greedy Paired Orders,driver_86,8,16,73.88,177,TRUE,greedy_nearest
87,128,greedy_nearest,Greedy Nearest Stop,driver_87,8,16,42.86,103,TRUE,greedy_nearest
87,128,paired_order_greedy,Greedy Paired Orders,driver_87,8,16,98.95,237,TRUE,greedy_nearest
88,129,greedy_nearest,Greedy Nearest Stop,driver_88,8,16,59.3,142,TRUE,greedy_nearest
88,129,paired_order_greedy,Greedy Paired Orders,driver_88,8,16,62.56,150,TRUE,greedy_nearest
89,130,greedy_nearest,Greedy Nearest Stop,driver_89,8,16,45.79,110,TRUE,greedy_nearest
89,130,paired_order_greedy,Greedy Paired Orders,driver_89,8,16,64.08,154,TRUE,greedy_nearest
90,131,greedy_nearest,Greedy Nearest Stop,driver_90,8,16,62.12,149,TRUE,greedy_nearest
90,131,paired_order_greedy,Greedy Paired Orders,driver_90,8,16,76.02,182,TRUE,greedy_nearest
91,132,greedy_nearest,Greedy Nearest Stop,driver_91,8,16,45.83,110,TRUE,greedy_nearest
91,132,paired_order_greedy,Greedy Paired Orders,driver_91,8,16,92,221,TRUE,greedy_nearest
92,133,greedy_nearest,Greedy Nearest Stop,driver_92,8,16,49.48,119,TRUE,greedy_nearest
92,133,paired_order_greedy,Greedy Paired Orders,driver_92,8,16,91.01,218,TRUE,greedy_nearest
93,134,greedy_nearest,Greedy Nearest Stop,driver_93,8,16,56.39,135,TRUE,greedy_nearest
93,134,paired_order_greedy,Greedy Paired Orders,driver_93,8,16,90.35,217,TRUE,greedy_nearest
94,135,greedy_nearest,Greedy Nearest Stop,driver_94,8,16,61.11,147,TRUE,greedy_nearest
94,135,paired_order_greedy,Greedy Paired Orders,driver_94,8,16,76.66,184,TRUE,greedy_nearest
95,136,greedy_nearest,Greedy Nearest Stop,driver_95,8,16,53.92,129,TRUE,greedy_nearest
95,136,paired_order_greedy,Greedy Paired Orders,driver_95,8,16,95.92,230,TRUE,greedy_nearest
96,137,greedy_nearest,Greedy Nearest Stop,driver_96,8,16,45.36,109,TRUE,greedy_nearest
96,137,paired_order_greedy,Greedy Paired Orders,driver_96,8,16,69.47,167,TRUE,greedy_nearest
97,138,greedy_nearest,Greedy Nearest Stop,driver_97,8,16,47.6,114,TRUE,greedy_nearest
97,138,paired_order_greedy,Greedy Paired Orders,driver_97,8,16,94.24,226,TRUE,greedy_nearest
98,139,greedy_nearest,Greedy Nearest Stop,driver_98,8,16,62.42,150,TRUE,greedy_nearest
98,139,paired_order_greedy,Greedy Paired Orders,driver_98,8,16,95.13,228,TRUE,greedy_nearest
99,140,greedy_nearest,Greedy Nearest Stop,driver_99,8,16,52.94,127,TRUE,greedy_nearest
99,140,paired_order_greedy,Greedy Paired Orders,driver_99,8,16,91.3,219,TRUE,greedy_nearest
100,141,greedy_nearest,Greedy Nearest Stop,driver_100,8,16,65.92,158,TRUE,greedy_nearest
100,141,paired_order_greedy,Greedy Paired Orders,driver_100,8,16,92.26,221,TRUE,greedy_nearest
